PART_ID,DESCRIPTION,CATEGORY,SUBCATEGORY
MED-0001,Ultrasound Transducer,IMAGING,TRANSDUCERS
MED-0002,MRI Cooling Pump,IMAGING,COOLING COMPONENTS
MED-0003,Ultrasound Transducer,IMAGING,TRANSDUCERS
MED-0004,Ultrasound Transducer,IMAGING,TRANSDUCERS
MED-0005,CT Detector Assembly,IMAGING,DETECTOR COMPONENTS
MED-0006,CT Detector Assembly,IMAGING,DETECTOR COMPONENTS
MED-0007,Imaging System Cable,IMAGING,CABLES
MED-0008,X-Ray Power Supply,IMAGING,POWER COMPONENTS
MED-0009,CT Detector Assembly,IMAGING,DETECTOR COMPONENTS
MED-0010,Imaging System Cable,IMAGING,CABLES
MED-0011,MRI Cooling Pump,IMAGING,COOLING COMPONENTS
MED-0012,MRI Gradient Amplifier,IMAGING,POWER COMPONENTS
MED-0013,Imaging System Cable,IMAGING,CABLES
MED-0014,CT Patient Table Motor,IMAGING,MOTORS
MED-0015,CT Detector Assembly,IMAGING,DETECTOR COMPONENTS
MED-0016,Imaging Console Keyboard,IMAGING,USER INTERFACE
MED-0017,CT Patient Table Motor,IMAGING,MOTORS
MED-0018,Ultrasound Control Module,IMAGING,CONTROL MODULES
MED-0019,MRI Cooling Pump,IMAGING,COOLING COMPONENTS
MED-0020,Ultrasound Control Module,IMAGING,CONTROL MODULES
MED-0021,Imaging Console Keyboard,IMAGING,USER INTERFACE
MED-0022,Imaging Console Keyboard,IMAGING,USER INTERFACE
MED-0023,Imaging Console Keyboard,IMAGING,USER INTERFACE
MED-0024,MRI Cooling Pump,IMAGING,COOLING COMPONENTS
MED-0025,MRI Cooling Pump,IMAGING,COOLING COMPONENTS
MED-0026,MRI Cooling Pump,IMAGING,COOLING COMPONENTS
MED-0027,MRI Gradient Amplifier,IMAGING,POWER COMPONENTS
MED-0028,MRI Cooling Pump,IMAGING,COOLING COMPONENTS
MED-0029,CT Patient Table Motor,IMAGING,MOTORS
MED-0030,X-Ray Power Supply,IMAGING,POWER COMPONENTS
MED-0031,MRI Cooling Pump,IMAGING,COOLING COMPONENTS
MED-0032,X-Ray Power Supply,IMAGING,POWER COMPONENTS
MED-0033,X-Ray Detector Module,IMAGING,DETECTOR COMPONENTS
MED-0034,Ultrasound Control Module,IMAGING,CONTROL MODULES
MED-0035,Imaging System Cable,IMAGING,CABLES
MED-0036,CT Detector Assembly,IMAGING,DETECTOR COMPONENTS
MED-0037,MRI Cooling Pump,IMAGING,COOLING COMPONENTS
MED-0038,CT Detector Assembly,IMAGING,DETECTOR COMPONENTS
MED-0039,MRI Gradient Amplifier,IMAGING,POWER COMPONENTS
MED-0040,Ultrasound Control Module,IMAGING,CONTROL MODULES
MED-0041,MRI Cooling Pump,IMAGING,COOLING COMPONENTS
MED-0042,MRI Cooling Pump,IMAGING,COOLING COMPONENTS
MED-0043,Ultrasound Transducer,IMAGING,TRANSDUCERS
MED-0044,CT Patient Table Motor,IMAGING,MOTORS
MED-0045,Ultrasound Transducer,IMAGING,TRANSDUCERS
MED-0046,X-Ray Power Supply,IMAGING,POWER COMPONENTS
MED-0047,X-Ray Power Supply,IMAGING,POWER COMPONENTS
MED-0048,X-Ray Detector Module,IMAGING,DETECTOR COMPONENTS
MED-0049,Imaging Console Keyboard,IMAGING,USER INTERFACE
MED-0050,X-Ray Detector Module,IMAGING,DETECTOR COMPONENTS
MED-0051,Imaging System Cable,IMAGING,CABLES
MED-0052,X-Ray Detector Module,IMAGING,DETECTOR COMPONENTS
MED-0053,Ultrasound Control Module,IMAGING,CONTROL MODULES
MED-0054,CT Detector Assembly,IMAGING,DETECTOR COMPONENTS
MED-0055,MRI Cooling Pump,IMAGING,COOLING COMPONENTS
MED-0056,Imaging System Cable,IMAGING,CABLES
MED-0057,X-Ray Power Supply,IMAGING,POWER COMPONENTS
MED-0058,Ultrasound Transducer,IMAGING,TRANSDUCERS
MED-0059,CT Patient Table Motor,IMAGING,MOTORS
MED-0060,Ultrasound Control Module,IMAGING,CONTROL MODULES
MED-0061,Imaging Console Keyboard,IMAGING,USER INTERFACE
MED-0062,CT Patient Table Motor,IMAGING,MOTORS
MED-0063,Ultrasound Control Module,IMAGING,CONTROL MODULES
MED-0064,X-Ray Power Supply,IMAGING,POWER COMPONENTS
MED-0065,CT Patient Table Motor,IMAGING,MOTORS
MED-0066,Ultrasound Transducer,IMAGING,TRANSDUCERS
MED-0067,X-Ray Power Supply,IMAGING,POWER COMPONENTS
MED-0068,Imaging Console Keyboard,IMAGING,USER INTERFACE
MED-0069,MRI Cooling Pump,IMAGING,COOLING COMPONENTS
MED-0070,Imaging Console Keyboard,IMAGING,USER INTERFACE
MED-0071,X-Ray Detector Module,IMAGING,DETECTOR COMPONENTS
MED-0072,MRI Cooling Pump,IMAGING,COOLING COMPONENTS
MED-0073,Ultrasound Transducer,IMAGING,TRANSDUCERS
MED-0074,Imaging Console Keyboard,IMAGING,USER INTERFACE
MED-0075,CT Detector Assembly,IMAGING,DETECTOR COMPONENTS
MED-0076,X-Ray Power Supply,IMAGING,POWER COMPONENTS
MED-0077,MRI Gradient Amplifier,IMAGING,POWER COMPONENTS
MED-0078,Imaging System Cable,IMAGING,CABLES
MED-0079,MRI Cooling Pump,IMAGING,COOLING COMPONENTS
MED-0080,MRI Cooling Pump,IMAGING,COOLING COMPONENTS
MED-0081,Ultrasound Control Module,IMAGING,CONTROL MODULES
MED-0082,CT Patient Table Motor,IMAGING,MOTORS
MED-0083,CT Detector Assembly,IMAGING,DETECTOR COMPONENTS
MED-0084,Ultrasound Transducer,IMAGING,TRANSDUCERS
MED-0085,Ultrasound Control Module,IMAGING,CONTROL MODULES
MED-0086,Ultrasound Control Module,IMAGING,CONTROL MODULES
MED-0087,Ultrasound Control Module,IMAGING,CONTROL MODULES
MED-0088,Ultrasound Control Module,IMAGING,CONTROL MODULES
MED-0089,Imaging Console Keyboard,IMAGING,USER INTERFACE
MED-0090,X-Ray Power Supply,IMAGING,POWER COMPONENTS
MED-0091,X-Ray Detector Module,IMAGING,DETECTOR COMPONENTS
MED-0092,Imaging Console Keyboard,IMAGING,USER INTERFACE
MED-0093,MRI Cooling Pump,IMAGING,COOLING COMPONENTS
MED-0094,Ultrasound Transducer,IMAGING,TRANSDUCERS
MED-0095,CT Patient Table Motor,IMAGING,MOTORS
MED-0096,Imaging Console Keyboard,IMAGING,USER INTERFACE
MED-0097,MRI Gradient Amplifier,IMAGING,POWER COMPONENTS
MED-0098,X-Ray Detector Module,IMAGING,DETECTOR COMPONENTS
MED-0099,MRI Gradient Amplifier,IMAGING,POWER COMPONENTS
MED-0100,MRI Cooling Pump,IMAGING,COOLING COMPONENTS
MED-0101,X-Ray Power Supply,IMAGING,POWER COMPONENTS
MED-0102,Imaging System Cable,IMAGING,CABLES
MED-0103,X-Ray Power Supply,IMAGING,POWER COMPONENTS
MED-0104,Ultrasound Control Module,IMAGING,CONTROL MODULES
MED-0105,Ultrasound Control Module,IMAGING,CONTROL MODULES
MED-0106,CT Patient Table Motor,IMAGING,MOTORS
MED-0107,Imaging Console Keyboard,IMAGING,USER INTERFACE
MED-0108,Ultrasound Control Module,IMAGING,CONTROL MODULES
MED-0109,Imaging Console Keyboard,IMAGING,USER INTERFACE
MED-0110,Ultrasound Transducer,IMAGING,TRANSDUCERS
MED-0111,MRI Gradient Amplifier,IMAGING,POWER COMPONENTS
MED-0112,Imaging System Cable,IMAGING,CABLES
MED-0113,Imaging Console Keyboard,IMAGING,USER INTERFACE
MED-0114,Imaging Console Keyboard,IMAGING,USER INTERFACE
MED-0115,CT Patient Table Motor,IMAGING,MOTORS
MED-0116,X-Ray Detector Module,IMAGING,DETECTOR COMPONENTS
MED-0117,Ultrasound Control Module,IMAGING,CONTROL MODULES
MED-0118,Ultrasound Transducer,IMAGING,TRANSDUCERS
MED-0119,Imaging Console Keyboard,IMAGING,USER INTERFACE
MED-0120,Imaging System Cable,IMAGING,CABLES
